PAGE #,Item #,Description ,List Price ,Comments 
12,756040,"H/C,2XR,SL,40''/GH+ARM", $	195.00 ,Maximum allowable discount 35% 
12,B756040,"H/C,2XR,SL,40''/GH+ARM, BLACK", $	195.00 ,Maximum allowable discount 35% 
12,339567,"NSL,2XR,SL,40''/GH+ARM", $	218.00 ,Maximum allowable discount 35% 
12,756140,"H/C+,2XR,40''/GH+ARM", $	240.00 ,Maximum allowable discount 35% 
12,B756140,"H/C+,2XR,FL,40''/GH+ARM", $	240.00 ,Maximum allowable discount 35% 
13,339570,"NSL,2XR,SL,20''/GH+ARM", $	218.00 ,Maximum allowable discount 35% 
13,756120,"H/C+,2XR,20''/GH+ARM", $	240.00 ,Maximum allowable discount 35% 
13,B756120,"H/C+,2XR,FL,20''/GH+ARM BLACK", $	240.00 ,Maximum allowable discount 35% 
13,756020,"H/C,2XR,SL,20''/GH+ARM", $	195.00 ,Maximum allowable discount 35% 
13,B756020,"H/C,2XR,SL,20''/GH+ARM BLACK", $	195.00 ,Maximum allowable discount 35% 
13,339573,"C-STD,FL,2XR,20"" MINI BASE", $	235.00 ,
13,B339573,"C-STD,2XR,FL,MINI,20'',BLACK", $	235.00 ,
13,339774,"C-STD,FL,2XR,20'' W GH&ARM", $	266.00 ,
13,B339774,"C-STD,2XR,FL,20'',BL W GH&ARM", $	266.00 ,
13,339561,"C-STD,FL,2XR,30''", $	277.00 ,
13,B339561,"C-STD,2XR,FL,30'',BLACK", $	277.00 ,
14,339764,"C-STD,FL,2XR,40'' W GH & ARM", $	272.00 ,
14,B339764,"C-STD,2XR,FL,40'',BL W GH&ARM", $	272.00 ,
14,339568,"C-STD,FL,2XR,60''", $	278.00 ,
14,B339568,"C-STD,2XR,FL,60'',BLACK", $	278.00 ,
14,754042,"STD,2XR,FL,40'',2SL", $	245.00 ,"Description in catalog of 60"" is incorrect "
14,350580,"GRIPHEAD,HOLLYWOOD, 2.5''", $	41.00 ,
14,B350580,"GRIPHEAD,HOLLYWD,2.5'',BLK.", $	41.00 ,
14,339759,C+TURTLE BASE, $	142.00 ,
14,B339759,"BASE ASY,TURTLE,C+STAND", $	142.00 ,
15,681012,"GOBO ARM,H'WOOD,20''", $	60.00 ,
15,B681012,"HOLLYWOOD ARM,20'',BLACK", $	62.00 ,
15,655020,"H/GRIPHEAD+ARM,20''", $	82.00 ,
15,B655020,"H/GRIPHEAD+ARM,20'',BLACK", $	84.00 ,
15,681013,"GOBO ARM,H'WOOD,40''", $	60.00 ,
15,B681013,"HOLLYWOOD ARM,40'',BLACK", $	62.00 ,
15,655040,"H/GRIPHEAD+ARM, 40''", $	82.00 ,
15,B655040,"H/GRIPHEAD+ARM,40'',BLACK KIT", $	84.00 ,
15,339725,"C+,RISR ASSY, ST. 2 X 40''", $	136.00 ,
