Item Number	Item Name	Buy	Sell	Inventory	Asset Acct	Income Acct	Expense/COS Acct	Item Picture	Description	Use Desc. On Sale	Custom List 1	Custom List 2	Custom List 3	Custom Field 1	Custom Field 2	Custom Field 3	Primary Vendor	Vendor Item Number	Tax When Bought	Buy Unit Measure	# Items/Buy Unit	Reorder Quantity	Minimum Level	Selling Price	Sell Unit Measure	Tax When Sold	# Items/Sell Unit	Quantity Break 1	Quantity Break 2	Quantity Break 3	Quantity Break 4	Quantity Break 5	Price Level A, Qty Break 1	Price Level B, Qty Break 1	Price Level C, Qty Break 1	Price Level D, Qty Break 1	Price Level E, Qty Break 1	Price Level F, Qty Break 1	Price Level A, Qty Break 2	Price Level B, Qty Break 2	Price Level C, Qty Break 2	Price Level D, Qty Break 2	Price Level E, Qty Break 2	Price Level F, Qty Break 2	Price Level A, Qty Break 3	Price Level B, Qty Break 3	Price Level C, Qty Break 3	Price Level D, Qty Break 3	Price Level E, Qty Break 3	Price Level F, Qty Break 3	Price Level A, Qty Break 4	Price Level B, Qty Break 4	Price Level C, Qty Break 4	Price Level D, Qty Break 4	Price Level E, Qty Break 4	Price Level F, Qty Break 4	Price Level A, Qty Break 5	Price Level B, Qty Break 5	Price Level C, Qty Break 5	Price Level D, Qty Break 5	Price Level E, Qty Break 5	Price Level F, Qty Break 5	Inactive Item	Standard Cost	Default Ship/Sell Location	Default Recvd/Auto Location	Brand	Weight	Unit of Weight	Web Description	Sold in Web Store	Web Store Price	Item Record ID	Track Serial Number	Warranty Applies when Sold	Warranty Period	Unit of Warranty Period	Kit Item
(X) E Tape Paper .5 Black	(X) Paper Tape 1/2" Black	B	S			45199	55199	E Tape P-724 05 Black.jpg									Barbizon Lighting Company	PART12BK		Each	1	0		$3.75	Each	T	1	0	0	0	0	0	3.75	6.44	6.44	6.44	6.44	6.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	$3.32			P-724	0.25	Pound		N	3.75	3800	N	N	0	days	
\		B	S			89999	99999														1	0		$0.00			1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$0.00				0	Pound		N	0.00	186	N	N	0	days	
\ == ESTIMATED ==	User for ESTIMATED prices needing research	B	S			45399	55399														1	0		$0.00		T	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$0.00				0	Pound		N	0.00	8322	N	N	0	days	
\ Damage (X)	Equipment Damages	B					53310		Equipment damaged durring rental period.	X							Deano's			EA/DY	1	0						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	$0.00				0	Pound		N	0.00	2366	N	N	0	days	
\ Discount	Discount per agreement		S			57060																		$0.00			1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N					0	Pound		N	0.00	2359	N	N	0	days	
\ EXPEND (X)	EXPENDABLES USED ON RENTAL	B	S			89999	99999										Deano's				1	0		$0.00			1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	$0.00				0	Pound		N	0.00	188	N	N	0	days	
\ Freight	Freight for Item Deliveries	B	S			47005	57015														1	0		$0.00			1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$0.00				0	Pound		N	0.00	487	N	N	0	days	
\ LABOR	SERVICES PROVIDED ON		S			41105			SERVICES PROVIDED ON ABOVE PROJECT	X														$0.00			1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y					0	Pound		N	0.00	185	N	N	0	days	
\ Parts	Parts Used		S			43305																		$0.00			1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y					0	Pound		N	0.00	459	N	N	0	days	
\ PARTS	Parts Used		S			43305																		$0.00			1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y					0	Pound		N	0.00	458	N	N	0	days	
